DATE,GDPC1_GDPPOT
1987-07-01,-1.1962137592854398
1987-10-01,-0.29328289357125498313
1988-01-01,-0.55941524300618861170
1988-04-01,-0.03744178193715019915
1988-07-01,-0.23037049629525828993
1988-10-01,0.31760835057802328849
1989-01-01,0.56006600331699599975
1989-04-01,0.55659910941978373652
1989-07-01,0.54002320591716396586
1989-10-01,-0.00793745139620248026
1990-01-01,0.35361065627540142772
1990-04-01,0.01030652124598210322
1990-07-01,-0.60124303845845274363
1990-10-01,-2.1491512992052035
1991-01-01,-3.2231532691279852
1991-04-01,-3.0671230229339156
1991-07-01,-3.1612504587147771
1991-10-01,-3.4012036035691623
1992-01-01,-2.8207350378644463
1992-04-01,-2.3491593504801766
1992-07-01,-1.9773746365866059
1992-10-01,-1.55544039553176203856
1993-01-01,-1.9938035707008452
1993-04-01,-2.0383039450068555
1993-07-01,-2.1902046987141698
1993-10-01,-1.48853903992841103116
1994-01-01,-1.16703713789053252078
1994-04-01,-0.46914029287708602644
1994-07-01,-0.53748472847147054297
1994-10-01,-0.05759477665808714089
1995-01-01,-0.36156271818721206851
1995-04-01,-0.72812115871900993498
1995-07-01,-0.55141061606277519805
1995-10-01,-0.55711499707664935854
1996-01-01,-0.50358377098796107039
1996-04-01,0.41737250050854662476
1996-07-01,0.52882035825253899290
1996-10-01,0.73455110442684695114
1997-01-01,0.50396205516277277676
1997-04-01,1.25181468156201202380
1997-07-01,1.54620920915988060853
1997-10-01,1.41413917281545684287
1998-01-01,1.40601593128100203757
1998-04-01,1.28943905132287473720
1998-07-01,1.49033130298076471615
1998-10-01,2.0260792113814687
1999-01-01,1.8724618218721877
1999-04-01,1.6056820722767614
1999-07-01,1.8286431858557549
1999-10-01,2.3647667753588521
2000-01-01,1.6152499753669602
2000-04-01,2.3809405898901008
2000-07-01,1.4693885687377219
2000-10-01,1.12616144063808176565
2001-01-01,-0.08343849124824201384
2001-04-01,-0.27886017084082581009
2001-07-01,-1.4346236274260833
2001-10-01,-1.8716088880004858
2002-01-01,-1.7196236775374274
2002-04-01,-1.7588622670332388
2002-07-01,-1.9834606977858229
2002-10-01,-2.4710776921664668
2003-01-01,-2.5609569576480781
2003-04-01,-2.3036911875392785
2003-07-01,-1.28759938550129645410
2003-10-01,-0.75947995217606171046
2004-01-01,-0.82312286044526536178
2004-04-01,-0.68841087987156037618
2004-07-01,-0.39330279583794760334
2004-10-01,-0.03179530472243631011
2005-01-01,0.43537975573363800993
2005-04-01,0.31153897601012614386
2005-07-01,0.49279794879699722129
2005-10-01,0.46560864236892685898
2006-01-01,1.2474448350651381
2006-04-01,0.95928785812529355876
2006-07-01,0.59146042987005229385
2006-10-01,0.96488793531809755852
2007-01-01,0.77561414866409027116
2007-04-01,0.89290663342210744343
2007-07-01,0.96986373083839485927
2007-10-01,1.09865749638559231420
2008-01-01,0.17173610526422270933
2008-04-01,0.28925286017682248488
2008-07-01,-0.69228573800479437243
2008-10-01,-3.2842682227402183
2009-01-01,-4.7616555489949193
2009-04-01,-5.2857779741005969
2009-07-01,-5.2870635196712288
2009-10-01,-4.5906061876865554
2010-01-01,-4.4595812106877562
2010-04-01,-3.8770639100084602
2010-07-01,-3.4957018558028711
2010-10-01,-3.3617274183330185
2011-01-01,-3.9742061823733035
2011-04-01,-3.7208029705505388
2011-07-01,-4.1479229992224380
2011-10-01,-3.4865529782283264
2012-01-01,-3.0993298221717203
2012-04-01,-3.0958175562127506
2012-07-01,-3.3875784873249147
2012-10-01,-3.7084219712027596
2013-01-01,-3.1992590046187137
2013-04-01,-3.3802482304798655
2013-07-01,-2.9989357046231176
2013-10-01,-2.5991310957527148
2014-01-01,-3.3801292990334503
2014-04-01,-2.5821738969481783
2014-07-01,-1.8581347019397689
2014-10-01,-1.8235473271703908
2015-01-01,-1.4037354291008544
2015-04-01,-1.2582778318748729
2015-07-01,-1.3250318256441281
2015-10-01,-1.5996055928206694
2016-01-01,-1.4828082708082724
2016-04-01,-1.6170677289074064
2016-07-01,-1.3680701670821587
2016-10-01,-1.2690397411437923
2017-01-01,-1.2376198982466750
2017-04-01,-1.1354161501261678
2017-07-01,-0.82043470140561073916
2017-10-01,-0.18165030621273372351
2018-01-01,0.13772110559539691457
2018-04-01,0.16416983256928575113
2018-07-01,0.27388138306508865383
2018-10-01,-0.09967703521545052277
2019-01-01,-0.07484337250312341604
2019-04-01,0.23241283779296723892
2019-07-01,0.84440884410198128351
2019-10-01,0.98275108136031038788
2020-01-01,-0.88495333466154001823
2020-04-01,-9.1530232887539391
2020-07-01,-2.5690680286787667
2020-10-01,-2.0301046988244934
2021-01-01,-1.24246866630902728950
2021-04-01,-0.21693549515672312065
2021-07-01,0.10272807195983094085
2021-10-01,1.30039066293541899446
2022-01-01,0.29940509473326498499
2022-04-01,-0.33904678764369553539
2022-07-01,-0.19663584434735055705
2022-10-01,-0.07672974716631067404
2023-01-01,-0.06097401135867506831
2023-04-01,-0.09385859986163947779
2023-07-01,0.54082954137536874640
2023-10-01,0.78980884357944965124
